id;edad;sexo;municipio;trabajo_actual;educación;tipo_universidad;tipo_dispositivo_rrss;top1_rrss;top2_rrss;top3_rrss;top4_rrss;top5_rrss;internet_fijo;calidad_internet_fijo;fallas_servicio;internet_fijo_positivo;internet_fijo_negativo;fallo_internet_reestablecimiento;tipo_empresa_internet_fijo;cambio_proveedor_reciente;medida_secundaria_fallo_internet_fijo;pago_internet_dolares;acceso_celular_rrss;calidad_navegacion_movil;navegacion_movil_positivo;navegacion_movil_negativo;fac1_ars;fac2_ars;fac3_ars;area_interperso;area_personal_corporal;fac1_bsq;fac2_bsq;fac3_bsq
114;22;Masculino;Municipio Baruta;Sí;Bachiller;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Regular hacia mala;Casi nunca;Otro;La navegación es muy lenta;Entre 4 días y 1 semana;Privada;No;Me movilizo a casa de un conocido para usar su internet;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;1,688029081;0,361434564;0,078657122;0,87927443;0,478489579;-0,473923499;-0,585347577;-0,495172258
115;18;Masculino;Municipio Baruta;No;Bachiller;Privada;Celular;Instagram;Whatsapp;Twitter;TikTok;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;La señal se cae constantemente;Entre 1 y 2 días;Pública;Sí;Con datos móviles;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Nunca tiene señal;-0,243216029;-0,697771825;0,628078104;0,902264258;-0,815279;-1,008556642;-0,172416159;0,001708484
116;18;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;TikTok;Instagram;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Nunca se me cae el internet;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;-1,447795665;-0,05107017;-0,978478843;1,823081134;-1,617241322;1,444278962;-0,759957646;-0,241954889
117;18;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Whatsapp;TikTok;Instagram;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;La señal se cae constantemente;Entre 1 y 2 días;Privada;No;Internet satelital;No;Sí;Ha mejorado;Navego sin problemas;Los megas son muy caros;-0,017020595;0,049240118;0,119567681;-0,320055866;1,051137549;-1,115266871;-0,182080215;-0,184909614
118;20;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular, Tablet, Computadora Fija;Whatsapp;Instagram;Facebook;Twitter;TikTok;Sí;Regular hacia mala;Casi nunca;Siempre tengo internet;La navegación es muy lenta;El mismo día;Privada;No;Me movilizo a casa de un conocido para usar su internet;No;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Navega muy lento;-1,620924894;0,110809693;0,176356097;-0,160412246;-0,25071239;1,54149734;-0,669687932;-0,253064551
119;20;Masculino;Municipio Baruta;Sí;Bachiller;Privada;Celular;Whatsapp;TikTok;Instagram;Twitter;Facebook;Sí;Regular hacia buena;Todos los días;Siempre tengo internet;La señal se cae constantemente;El mismo día;Pública;Sí;Con datos móviles;No;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Nunca tiene señal;0,672762578;0,990971333;0,422666022;-0,071287027;0,939401257;-0,749420481;-0,259114541;-0,4563619
120;24;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Computadora Fija, Laptop (Portátil);Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Muy buena;Casi nunca;Nunca se me cae el internet;La navegación es muy lenta;Entre 1 y 2 días;Privada;No;Me movilizo a casa de un conocido para usar su internet;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;0,060493772;0,324583372;0,623780085;0,347287382;-0,895012746;0,711054164;-0,15363738;0,145171772
121;18;No binario;Municipio El Hatillo;No;Bachiller;Privada;Celular, Laptop (Portátil);Whatsapp;Twitter;TikTok;Instagram;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre atienden mis reclamos;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;Sí;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas siempre se me acaban;-0,695042262;0,404193933;-0,017047975;1,194796279;0,14103731;-0,785007982;-0,087111711;-0,559327215
122;18;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;Facebook;Twitter;TikTok;Sí;Muy buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;0,809755068;0,145321596;0,159264682;-0,671287048;0,215653266;0,633075378;-0,832086626;-0,430678981
123;18;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Facebook;Twitter;TikTok;Whatsapp;Instagram;Sí;Buena;Casi nunca;La navegación es rápida;Otro;El mismo día;Pública;Sí;Me movilizo a casa de un conocido para usar su internet;No;Sí;Ha mejorado;Navego sin problemas;Otro;0,936716687;0,507691653;-1,201086559;0,015335487;0,019456659;-0,454983957;-0,174237192;0,007980291
